dataset,epoch,train_loss,val_loss,val_mIoU,val_veg_IoU,val_F1,val_Accuracy,lr
vaihingen,1,0.6158236924165524,0.35760003328323364,0.7271042375867891,0.7181207710714157,0.835937476762588,0.8421905517578125,0.0009997532801828658
vaihingen,2,0.2915320929533206,0.2614198327064514,0.8088743188210704,0.7784680370880565,0.8754366351870653,0.8972888946533203,0.0009990133642141358
vaihingen,3,0.24828504072213026,0.24562963843345642,0.8153322679017732,0.7879266626663991,0.8813858858073472,0.900736141204834,0.00099778098230154
vaihingen,4,0.22867914858441915,0.24432890117168427,0.8151058100731184,0.7925564325149534,0.884275014319073,0.8998027801513672,0.000996057350657239
vaihingen,5,0.21984234554056795,0.23449353873729706,0.822498376731573,0.7993103567048676,0.8884630199858008,0.9044262886047363,0.0009938441702975688
vaihingen,6,0.21104901297862486,0.2266676127910614,0.8289480081354906,0.8043580266542465,0.8915725313625672,0.9085846900939941,0.0009911436253643444
vaihingen,7,0.20469221546783212,0.22186359763145447,0.8322501645200573,0.8086027259470346,0.8941739546739075,0.9104283332824707,0.0009879583809693736
vaihingen,8,0.1993455870181137,0.21968884766101837,0.8334278892396075,0.8117227502356378,0.8960783322172918,0.910827350616455,0.0009842915805643154
vaihingen,9,0.19154436664181465,0.21272917091846466,0.8383144805148336,0.8156103325472214,0.8984420477525659,0.9139304161071777,0.0009801468428384714
vaihingen,10,0.18918243374513544,0.20829463005065918,0.8411587942717131,0.8192631729258889,0.9006538307575175,0.9155054092407227,0.0009755282581475767
vaihingen,11,0.185680652349632,0.2047857791185379,0.8434370454898343,0.8229111303515124,0.9028538107536052,0.9166515350341797,0.0009704403844771127
vaihingen,12,0.18341278418991136,0.1973050832748413,0.8482127995443447,0.8262507996608757,0.9048601646765118,0.9197308540344238,0.0009648882429441257
vaihingen,13,0.17820367133765488,0.1934695541858673,0.8498213430221001,0.8284206569797921,0.9061598093604867,0.9205940246582032,0.0009588773128419905
vaihingen,14,0.17365444215558332,0.19330786168575287,0.8490757841936748,0.8293386191683708,0.9067086984096947,0.919886302947998,0.0009524135262330098
vaihingen,15,0.16947907431525475,0.18864662945270538,0.8527290312787985,0.8303377138266941,0.9073054743440803,0.9224912643432617,0.0009455032620941839
vaihingen,16,0.16756245419845817,0.18826064467430115,0.8530450925978843,0.8338296595422072,0.9093861637621921,0.9221569061279297,0.0009381533400219318
vaihingen,17,0.16405612896688238,0.1825643628835678,0.8575038817584151,0.8364369588176697,0.9109345733884406,0.9250885963439941,0.0009303710135019719
vaihingen,18,0.16138482334450904,0.1810808926820755,0.8589445203982424,0.8393851504175133,0.9126801423040577,0.9256880760192872,0.0009221639627510076
vaihingen,19,0.15791586346878028,0.1783490777015686,0.8610642943074721,0.84044178664515,0.9133043954377386,0.9271107673645019,0.000913540287137281
vaihingen,20,0.15713477791836544,0.1774837076663971,0.8622755694254005,0.8433294777566772,0.9150067721837823,0.9275460243225098,0.0009045084971874739
vaihingen,21,0.15350494769789416,0.17473000288009644,0.8641425390671746,0.8441415238135009,0.9154845362062022,0.9288126945495605,0.0008950775061878452
vaihingen,22,0.1532204845307036,0.17481283843517303,0.8646330928188306,0.8461312688880327,0.916653418039636,0.9288556098937988,0.0008852566213878947
vaihingen,23,0.1497391091185327,0.17195720970630646,0.8664276643108372,0.8466874099697552,0.9169796744145476,0.9301065444946289,0.0008750555348152298
vaihingen,24,0.15050084805636674,0.1727592796087265,0.8665518524984402,0.8484045987824326,0.9179858125664558,0.9299202919006347,0.0008644843137107057
vaihingen,25,0.14664802612355038,0.17005608975887299,0.8679454436339987,0.8485886666861785,0.918093551019522,0.9309288024902344,0.0008535533905932737
vaihingen,26,0.14558263493250617,0.17109742760658264,0.8678917421222694,0.8499713261988981,0.918902162603048,0.9306657791137696,0.0008422735529643444
vaihingen,27,0.14525123643949164,0.16848428547382355,0.8692673098823382,0.8499919165960241,0.9189141952144364,0.9316863059997559,0.0008306559326618259
vaihingen,28,0.14389731304615921,0.16990986466407776,0.8689738762199002,0.8513049012054207,0.9196809241428784,0.9312565803527832,0.0008187119948743449
