dataset,split,round_index,sample,model,box_count,confidence,box_mask_iou,box_mask_f1,box_mask_accuracy
zijinshan,test,42,2024_omap_2024_000059,nvidia/LocateAnything-3B,42,,0.044950916702757325,0.08603450360060097,0.7981071472167969
zijinshan,test,43,2024_omap_2024_000007,nvidia/LocateAnything-3B,1,,0.9218223624405112,0.9593210907067334,0.9219207763671875
zijinshan,test,44,2024_omap_2024_000004,nvidia/LocateAnything-3B,37,,0.7250747794768488,0.8406299693242715,0.7251167297363281
zijinshan,test,45,2024_omap_2024_000042,nvidia/LocateAnything-3B,2,,0.9921646118164062,0.9960668972146586,0.9921646118164062
zijinshan,test,46,2024_omap_2024_000048,nvidia/LocateAnything-3B,3,,0.5811587484360435,0.7351048704133972,0.6794700622558594
zijinshan,test,47,2024_omap_2024_000054,nvidia/LocateAnything-3B,42,,0.04686125583598349,0.08952715667858369,0.14023208618164062
zijinshan,test,48,2024_omap_2024_000027,nvidia/LocateAnything-3B,2,,0.9151749428559436,0.9557089771561215,0.9152030944824219
zijinshan,test,49,2024_omap_2024_000051,nvidia/LocateAnything-3B,19,,0.6999133961568472,0.8234694752558651,0.7329940795898438
zijinshan,test,50,2024_omap_2024_000014,nvidia/LocateAnything-3B,2,,0.9563912011780594,0.9777095711759074,0.9563941955566406
zijinshan,test,51,2024_omap_2024_000039,nvidia/LocateAnything-3B,1,,0.9262577164615302,0.9617173325727505,0.92626953125
zijinshan,test,52,2024_omap_2024_000024,nvidia/LocateAnything-3B,1,,0.006383483193200678,0.01268598561046775,0.5843582153320312
zijinshan,test,53,2024_omap_2024_000024,nvidia/LocateAnything-3B,1,,0.0034197231392146493,0.006816136977088692,0.5831184387207031
zijinshan,test,54,2024_omap_2024_000056,nvidia/LocateAnything-3B,41,,0.09051504610816727,0.16600421320402242,0.6798324584960938
zijinshan,test,55,2024_omap_2024_000006,nvidia/LocateAnything-3B,41,,0.07644633740137058,0.14203464630836737,0.8709602355957031
zijinshan,test,56,2024_omap_2024_000054,nvidia/LocateAnything-3B,41,,0.24811803673592292,0.39758745476477686,0.29512786865234375
zijinshan,test,57,2024_omap_2024_000043,nvidia/LocateAnything-3B,1,,0.9914698162729659,0.9957166392092257,0.9914703369140625
zijinshan,test,58,2024_omap_2024_000060,nvidia/LocateAnything-3B,6,,0.178070068359375,0.3023081107685931,0.178070068359375
zijinshan,test,59,2024_omap_2024_000041,nvidia/LocateAnything-3B,17,,0.8205191953886698,0.9014122976203983,0.8209991455078125
zijinshan,test,60,2024_omap_2024_000052,nvidia/LocateAnything-3B,18,,0.4863974691404644,0.6544648779868177,0.5330390930175781
zijinshan,test,61,2024_omap_2024_000013,nvidia/LocateAnything-3B,2,,0.9491769932106233,0.9739259149033651,0.9491996765136719
zijinshan,test,62,2024_omap_2024_000022,nvidia/LocateAnything-3B,1,,0.4952682352581449,0.6624473436669257,0.496246337890625
zijinshan,test,63,2024_omap_2024_000043,nvidia/LocateAnything-3B,1,,0.9896797872624539,0.9948131288242389,0.9896812438964844
zijinshan,test,64,2024_omap_2024_000027,nvidia/LocateAnything-3B,2,,0.9151749428559436,0.9557089771561215,0.9152030944824219
zijinshan,test,65,2024_omap_2024_000040,nvidia/LocateAnything-3B,1,,0.9952850341796875,0.9976369462309674,0.9952850341796875
zijinshan,test,66,2024_omap_2024_000038,nvidia/LocateAnything-3B,2,,0.9531295909762156,0.9760024069880804,0.9531440734863281
zijinshan,test,67,2024_omap_2024_000020,nvidia/LocateAnything-3B,1,,0.9685296272552432,0.9840132592829519,0.9685401916503906
zijinshan,test,68,2024_omap_2024_000024,nvidia/LocateAnything-3B,2,,0.416280021573075,0.5878498817073039,0.41785430908203125
zijinshan,test,69,2024_omap_2024_000009,nvidia/LocateAnything-3B,3,,0.07240144590008983,0.13502675919897092,0.16890716552734375
zijinshan,test,70,2024_omap_2024_000000,nvidia/LocateAnything-3B,23,,0.06790469828545981,0.12717370453465,0.6007881164550781
zijinshan,test,71,2024_omap_2024_000054,nvidia/LocateAnything-3B,42,,0.06790804171962994,0.12717956802774713,0.1552276611328125
zijinshan,test,72,2024_omap_2024_000041,nvidia/LocateAnything-3B,42,,0.888504387638306,0.9409608931324082,0.8885231018066406
zijinshan,test,73,2024_omap_2024_000009,nvidia/LocateAnything-3B,3,,0.05163158577170766,0.09819329596080817,0.1629638671875
zijinshan,test,74,2024_omap_2024_000000,nvidia/LocateAnything-3B,42,,0.015163467437987554,0.029873942324296323,0.82855224609375
zijinshan,test,75,2024_omap_2024_000032,nvidia/LocateAnything-3B,2,,0.7132588835589233,0.8326340991470977,0.7136001586914062
zijinshan,test,76,2024_omap_2024_000042,nvidia/LocateAnything-3B,2,,0.9921646118164062,0.9960668972146586,0.9921646118164062
zijinshan,test,77,2024_omap_2024_000044,nvidia/LocateAnything-3B,42,,0.9390602111816406,0.968572513392339,0.9390602111816406
zijinshan,test,78,2024_omap_2024_000044,nvidia/LocateAnything-3B,7,,0.9371070861816406,0.9675325570449842,0.9371070861816406
zijinshan,test,79,2024_omap_2024_000006,nvidia/LocateAnything-3B,41,,0.10466417544158164,0.18949501173013578,0.47811126708984375
zijinshan,test,80,2024_omap_2024_000032,nvidia/LocateAnything-3B,2,,0.7132588835589233,0.8326340991470977,0.7136001586914062
zijinshan,test,81,2024_omap_2024_000055,nvidia/LocateAnything-3B,7,,0.48940147081629487,0.6571787129336848,0.5227279663085938
zijinshan,test,82,2024_omap_2024_000042,nvidia/LocateAnything-3B,2,,0.9921646118164062,0.9960668972146586,0.9921646118164062
zijinshan,test,83,2024_omap_2024_000041,nvidia/LocateAnything-3B,42,,0.8868139080529946,0.9400120534071099,0.8868484497070312
zijinshan,test,84,2024_omap_2024_000065,nvidia/LocateAnything-3B,42,,0.2016701926288832,0.3356498211671392,0.8632469177246094
zijinshan,test,85,2024_omap_2024_000043,nvidia/LocateAnything-3B,1,,0.9896797872624539,0.9948131288242389,0.9896812438964844
zijinshan,test,86,2024_omap_2024_000019,nvidia/LocateAnything-3B,2,,0.972394744472082,0.9860041933262671,0.9723968505859375
zijinshan,test,87,2024_omap_2024_000048,nvidia/LocateAnything-3B,1,,0.7361014707230509,0.8479936030657006,0.8462638854980469
zijinshan,test,88,2024_omap_2024_000037,nvidia/LocateAnything-3B,2,,0.9951820373535156,0.997585201472205,0.9951820373535156
zijinshan,test,89,2024_omap_2024_000066,nvidia/LocateAnything-3B,41,,0.21584730190872614,0.3550565956265614,0.7606925964355469
zijinshan,test,90,2024_omap_2024_000023,nvidia/LocateAnything-3B,2,,0.28632746508481316,0.44518596213901773,0.2877159118652344
zijinshan,test,91,2024_omap_2024_000032,nvidia/LocateAnything-3B,2,,0.7132588835589233,0.8326340991470977,0.7136001586914062
zijinshan,test,92,2024_omap_2024_000048,nvidia/LocateAnything-3B,3,,0.5867045442785143,0.7395258889175148,0.6953163146972656
zijinshan,test,93,2024_omap_2024_000006,nvidia/LocateAnything-3B,41,,0.1188950660180681,0.21252228136315363,0.5163307189941406
zijinshan,test,94,2024_omap_2024_000051,nvidia/LocateAnything-3B,6,,0.7800507895289558,0.876436553515842,0.7802848815917969
zijinshan,test,95,2024_omap_2024_000042,nvidia/LocateAnything-3B,2,,0.9921646118164062,0.9960668972146586,0.9921646118164062
zijinshan,test,96,2024_omap_2024_000006,nvidia/LocateAnything-3B,41,,0.07752048247610378,0.14388679145655675,0.8763008117675781
zijinshan,test,97,2024_omap_2024_000031,nvidia/LocateAnything-3B,2,,0.9463527256768876,0.9724370235593061,0.9463729858398438
zijinshan,test,98,2024_omap_2024_000036,nvidia/LocateAnything-3B,11,,0.8515181533720144,0.9198053519715331,0.8559112548828125
zijinshan,test,99,2024_omap_2024_000018,nvidia/LocateAnything-3B,1,,0.9303375847970407,0.9639117966973203,0.930389404296875
zijinshan,test,100,2024_omap_2024_000066,nvidia/LocateAnything-3B,6,,0.24379508497371316,0.39201808709328617,0.2449951171875
loveda,default,1,loveda_0467,nvidia/LocateAnything-3B,9,,0.09563047989157161,0.17456703084973615,0.7842788696289062
loveda,default,2,loveda_0320,nvidia/LocateAnything-3B,31,,0.00415184687988707,0.008269360640599804,0.1078939437866211
loveda,default,3,loveda_0455,nvidia/LocateAnything-3B,33,,0.20262557981224374,0.3369720105968111,0.8078622817993164
loveda,default,4,loveda_0304,nvidia/LocateAnything-3B,16,,0.10194261232312983,0.18502345073708162,0.6201839447021484
loveda,default,5,loveda_0480,nvidia/LocateAnything-3B,40,,0.0,0.0,0.8475580215454102
loveda,default,6,loveda_0229,nvidia/LocateAnything-3B,20,,0.0,0.0,0.5234823226928711
loveda,default,7,loveda_0465,nvidia/LocateAnything-3B,38,,0.25661548774259446,0.4084232452101684,0.6446418762207031
loveda,default,8,loveda_0424,nvidia/LocateAnything-3B,15,,0.02410394898240972,0.0470732468249153,0.42032718658447266
loveda,default,9,loveda_0451,nvidia/LocateAnything-3B,42,,0.41191928698861124,0.5834884341967826,0.4124593734741211
loveda,default,10,loveda_0348,nvidia/LocateAnything-3B,19,,0.22217321783135072,0.363570751821218,0.5778379440307617
loveda,default,11,loveda_0476,nvidia/LocateAnything-3B,20,,0.04712245081304465,0.09000370639834172,0.7471218109130859
loveda,default,12,loveda_0310,nvidia/LocateAnything-3B,31,,0.3815290573760771,0.5523286757365944,0.47779178619384766
loveda,default,13,loveda_0291,nvidia/LocateAnything-3B,7,,0.0,0.0,0.8891525268554688
loveda,default,14,loveda_0467,nvidia/LocateAnything-3B,15,,0.10994951441706545,0.19811624400738595,0.819427490234375
loveda,default,15,loveda_0280,nvidia/LocateAnything-3B,5,,0.0,0.0,0.791956901550293
loveda,default,16,loveda_0296,nvidia/LocateAnything-3B,1,,0.15418954076077612,0.26718235665026585,0.15543174743652344
loveda,default,17,loveda_0011,nvidia/LocateAnything-3B,27,,0.0,0.0,0.8879547119140625
loveda,default,18,loveda_0096,nvidia/LocateAnything-3B,30,,0.09264034782031497,0.1695715301107473,0.7392730712890625
loveda,default,19,loveda_0357,nvidia/LocateAnything-3B,1,,0.06394456169785055,0.12020280755194115,0.06567192077636719
loveda,default,20,loveda_0409,nvidia/LocateAnything-3B,3,,0.0029441203609577578,0.005870955921050067,0.7568025588989258
loveda,default,21,loveda_0253,nvidia/LocateAnything-3B,18,,0.0,0.0,0.7085971832275391
loveda,default,22,loveda_0422,nvidia/LocateAnything-3B,42,,0.06668539180356933,0.12503291470190017,0.5531816482543945
loveda,default,23,loveda_0444,nvidia/LocateAnything-3B,12,,0.0,0.0,0.9254779815673828
loveda,default,24,loveda_0326,nvidia/LocateAnything-3B,1,,0.0,0.0,0.9045333862304688
loveda,default,25,loveda_0165,nvidia/LocateAnything-3B,29,,0.2606816140390816,0.4135566206980478,0.7150611877441406
loveda,default,26,loveda_0158,nvidia/LocateAnything-3B,3,,0.0,0.0,0.9434757232666016
loveda,default,27,loveda_0365,nvidia/LocateAnything-3B,21,,0.06133916910804419,0.1155882509445006,0.8731937408447266
loveda,default,28,loveda_0121,nvidia/LocateAnything-3B,2,,0.23238571753468273,0.37713146822174654,0.3401374816894531
loveda,default,29,loveda_0450,nvidia/LocateAnything-3B,1,,0.0,0.0,0.0019521713256835938
loveda,default,30,loveda_0359,nvidia/LocateAnything-3B,8,,0.2561314331760745,0.40780992563565927,0.5941524505615234
loveda,default,31,loveda_0487,nvidia/LocateAnything-3B,38,,0.02152743130624388,0.04214753445967946,0.6970062255859375
loveda,default,32,loveda_0069,nvidia/LocateAnything-3B,9,,0.32180409167586216,0.4869164707575685,0.9490060806274414
loveda,default,33,loveda_0179,nvidia/LocateAnything-3B,41,,0.27624762736373404,0.4329059994953514,0.7770900726318359
loveda,default,34,loveda_0008,nvidia/LocateAnything-3B,16,,0.0,0.0,0.8701190948486328
loveda,default,35,loveda_0062,nvidia/LocateAnything-3B,9,,0.0,0.0,0.9946069717407227
loveda,default,36,loveda_0317,nvidia/LocateAnything-3B,5,,0.16079422672375746,0.2770417409424673,0.16225242614746094
loveda,default,37,loveda_0260,nvidia/LocateAnything-3B,15,,0.0295745230154565,0.057449989980011405,0.1253347396850586
loveda,default,38,loveda_0432,nvidia/LocateAnything-3B,1,,0.049759822638255936,0.09480229965974422,0.9852848052978516
loveda,default,39,loveda_0253,nvidia/LocateAnything-3B,9,,0.0,0.0,0.9285430908203125
loveda,default,40,loveda_0396,nvidia/LocateAnything-3B,5,,0.16195453069576246,0.2787622517359372,0.869542121887207
loveda,default,41,loveda_0066,nvidia/LocateAnything-3B,41,,0.0,0.0,0.8610801696777344
loveda,default,42,loveda_0188,nvidia/LocateAnything-3B,10,,0.043527468493821116,0.08342371390883775,0.970179557800293
loveda,default,43,loveda_0192,nvidia/LocateAnything-3B,6,,0.0,0.0,0.19121837615966797
loveda,default,44,loveda_0067,nvidia/LocateAnything-3B,0,0.0,0.0,0.0,1.0
loveda,default,45,loveda_0125,nvidia/LocateAnything-3B,1,,0.0,0.0,0.3976631164550781
loveda,default,46,loveda_0158,nvidia/LocateAnything-3B,6,,0.03001620064802592,0.058282968033204686,0.9383325576782227
loveda,default,47,loveda_0166,nvidia/LocateAnything-3B,1,,0.13701770328390325,0.24101243610925757,0.138702392578125
loveda,default,48,loveda_0462,nvidia/LocateAnything-3B,12,,0.15451071750641662,0.26766441430728055,0.7210321426391602
loveda,default,49,loveda_0204,nvidia/LocateAnything-3B,41,,0.22168769703023766,0.3629204052216149,0.551936149597168
loveda,default,50,loveda_0045,nvidia/LocateAnything-3B,36,,0.12505364619263037,0.2223069924102425,0.7375259399414062
loveda,default,51,loveda_0146,nvidia/LocateAnything-3B,16,,0.15993276876333312,0.2757621356517862,0.8388910293579102
loveda,default,52,loveda_0240,nvidia/LocateAnything-3B,3,,0.15313383575610423,0.26559594560105004,0.1547870635986328
loveda,default,53,loveda_0196,nvidia/LocateAnything-3B,34,,0.0,0.0,0.8220119476318359
loveda,default,54,loveda_0055,nvidia/LocateAnything-3B,2,,0.4454924834165646,0.6163885160628425,0.4458589553833008
loveda,default,55,loveda_0214,nvidia/LocateAnything-3B,23,,0.20237354909626304,0.33662342164524917,0.5474176406860352
loveda,default,56,loveda_0170,nvidia/LocateAnything-3B,26,,0.056533530926722586,0.10701701228002683,0.7498559951782227
loveda,default,57,loveda_0215,nvidia/LocateAnything-3B,6,,0.0,0.0,0.7239484786987305
loveda,default,58,loveda_0180,nvidia/LocateAnything-3B,2,,0.12253921465417413,0.21832504923567475,0.9761533737182617
loveda,default,59,loveda_0306,nvidia/LocateAnything-3B,6,,0.31782691270604235,0.4823500106753968,0.9722537994384766
loveda,default,60,loveda_0373,nvidia/LocateAnything-3B,4,,0.0025134600356404146,0.005014316786432092,0.4485645294189453
loveda,default,61,loveda_0236,nvidia/LocateAnything-3B,41,,0.33644925610750387,0.5034972402729818,0.7213611602783203
loveda,default,62,loveda_0152,nvidia/LocateAnything-3B,38,,0.010519614569233527,0.020820208569069392,0.6946506500244141
loveda,default,63,loveda_0051,nvidia/LocateAnything-3B,27,,0.0,0.0,0.7707862854003906
loveda,default,64,loveda_0078,nvidia/LocateAnything-3B,27,,0.16021635736267836,0.2761835865284141,0.9141216278076172
loveda,default,65,loveda_0437,nvidia/LocateAnything-3B,28,,0.0,0.0,0.963780403137207
loveda,default,66,loveda_0232,nvidia/LocateAnything-3B,3,,0.0,0.0,0.9219608306884766
loveda,default,67,loveda_0104,nvidia/LocateAnything-3B,41,,0.013911152531842186,0.02744057503875874,0.8486413955688477
loveda,default,68,loveda_0130,nvidia/LocateAnything-3B,2,,0.2967840322679788,0.4577231441521154,0.3126506805419922
loveda,default,69,loveda_0328,nvidia/LocateAnything-3B,41,,0.09379577632344636,0.17150509876481734,0.0955648422241211
loveda,default,70,loveda_0134,nvidia/LocateAnything-3B,21,,0.34794400242963064,0.5162588383530348,0.6785345077514648
loveda,default,71,loveda_0003,nvidia/LocateAnything-3B,22,,0.05769539048951457,0.1090964204028769,0.9383354187011719
loveda,default,72,loveda_0009,nvidia/LocateAnything-3B,2,,0.0,0.0,0.0019521713256835938
loveda,default,73,loveda_0418,nvidia/LocateAnything-3B,2,,0.0,0.0,0.9777774810791016
loveda,default,74,loveda_0364,nvidia/LocateAnything-3B,13,,0.635419747478524,0.7770723674557662,0.6884679794311523
loveda,default,75,loveda_0265,nvidia/LocateAnything-3B,2,,0.0,0.0,0.1865863800048828
loveda,default,76,loveda_0127,nvidia/LocateAnything-3B,34,,0.0,0.0,0.9488191604614258
loveda,default,77,loveda_0207,nvidia/LocateAnything-3B,2,,0.3455272085933238,0.5135937889424829,0.34671497344970703
loveda,default,78,loveda_0360,nvidia/LocateAnything-3B,0,0.0,0.0,0.0,1.0
loveda,default,79,loveda_0097,nvidia/LocateAnything-3B,33,,0.21402535001242648,0.3525879422702924,0.909520149230957
loveda,default,80,loveda_0374,nvidia/LocateAnything-3B,31,,0.32159785721809525,0.48668035508932267,0.7420291900634766
loveda,default,81,loveda_0259,nvidia/LocateAnything-3B,12,,0.0,0.0,0.9216947555541992
loveda,default,82,loveda_0220,nvidia/LocateAnything-3B,2,,0.17365239708684244,0.29591793535781163,0.17523956298828125
loveda,default,83,loveda_0441,nvidia/LocateAnything-3B,10,,0.392442765581215,0.5636752551440155,0.7041158676147461
loveda,default,84,loveda_0380,nvidia/LocateAnything-3B,41,,0.1034973881464015,0.1875806671735782,0.8013029098510742
loveda,default,85,loveda_0229,nvidia/LocateAnything-3B,15,,0.0,0.0,0.70343017578125
loveda,default,86,loveda_0032,nvidia/LocateAnything-3B,16,,0.12117090014910926,0.21615063347254954,0.8398065567016602
loveda,default,87,loveda_0016,nvidia/LocateAnything-3B,28,,0.033415382540378326,0.06466979900809189,0.9726619720458984
loveda,default,88,loveda_0401,nvidia/LocateAnything-3B,12,,0.0,0.0,0.7790889739990234
loveda,default,89,loveda_0103,nvidia/LocateAnything-3B,2,,0.0,0.0,0.9348258972167969
loveda,default,90,loveda_0369,nvidia/LocateAnything-3B,1,,0.0,0.0,0.0019521713256835938
loveda,default,91,loveda_0464,nvidia/LocateAnything-3B,1,,0.42871853703172585,0.6001441514469632,0.6010799407958984
