Accuracy,Delta_Accuracy,Delta_F1,Delta_mIoU,F1,avg_boxes,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,mIoU,metric_type,model,n,perturbation,strength,task_type
0.6838198419827134,0.0,0.0,0.0,0.6579010582391517,11.955223880597014,0.6838198419827134,0.6579010582391517,0.5781739572210697,zijinshan,0.5781739572210697,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,clean,none,grounding
0.6938645092409048,0.01004466725819142,0.0036215748926894387,0.005275847404366152,0.6615226331318411,12.223880597014926,0.6938645092409048,0.6615226331318411,0.5834498046254358,zijinshan,0.5834498046254358,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,brightness,0.70,grounding
0.6746174826550839,-0.009202359327629472,-0.030035220266350082,-0.026418165536124416,0.6278658379728016,11.82089552238806,0.6746174826550839,0.6278658379728016,0.5517557916849453,zijinshan,0.5517557916849453,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,brightness,0.85,grounding
0.7402289661008921,0.056409124118178666,-0.015590864500927837,-0.009288750153664371,0.6423101937382238,15.08955223880597,0.7402289661008921,0.6423101937382238,0.5688852070674053,zijinshan,0.5688852070674053,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,brightness,1.15,grounding
0.7476064767410506,0.06378663475833724,-0.03155262601454578,-0.022545556676022427,0.6263484322246059,15.671641791044776,0.7476064767410506,0.6263484322246059,0.5556284005450473,zijinshan,0.5556284005450473,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,brightness,1.30,grounding
0.7334291828212454,0.04960934083853197,-0.012531204861599088,-0.0063521630304667065,0.6453698533775526,14.283582089552239,0.7334291828212454,0.6453698533775526,0.571821794190603,zijinshan,0.571821794190603,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,contrast,0.75,grounding
0.770786513143511,0.08696667116079759,0.0457663263862228,0.05148972785510186,0.7036673846253745,11.955223880597014,0.770786513143511,0.7036673846253745,0.6296636850761715,zijinshan,0.6296636850761715,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,contrast,0.90,grounding
0.7051474158443621,0.02132757386164874,-0.04511845728838193,-0.037313276577518706,0.6127826009507698,13.567164179104477,0.7051474158443621,0.6127826009507698,0.540860680643551,zijinshan,0.540860680643551,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,contrast,1.10,grounding
0.7086979310903976,0.024878089107684187,-0.002085059651722787,0.003960616772929693,0.6558159985874289,14.462686567164178,0.7086979310903976,0.6558159985874289,0.5821345739939994,zijinshan,0.5821345739939994,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,contrast,1.25,grounding
0.6989202926407999,0.015100450658086517,0.010762475735202615,0.005652207111448315,0.6686635339743543,9.701492537313433,0.6989202926407999,0.6686635339743543,0.583826164332518,zijinshan,0.583826164332518,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,gaussian_blur,kernel_3,grounding
0.6889737257316931,0.005153883748979737,0.020301014566124653,0.014857784659202622,0.6782020728052763,6.432835820895522,0.6889737257316931,0.6782020728052763,0.5930317418802723,zijinshan,0.5930317418802723,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,gaussian_blur,kernel_5,grounding
0.6890627732917444,0.005242931309030974,0.018308941639290865,0.009847808477507769,0.6762099998784425,6.895522388059701,0.6890627732917444,0.6762099998784425,0.5880217656985774,zijinshan,0.5880217656985774,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,gaussian_blur,kernel_7,grounding
0.7021669985643074,0.018347156581594026,0.0046639218647891445,0.006722888755786971,0.6625649801039408,11.597014925373134,0.7021669985643074,0.6625649801039408,0.5848968459768566,zijinshan,0.5848968459768566,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,shadow_illumination,mild,grounding
0.7266428933214786,0.04282305133876518,0.002425489530726299,0.009567119401738489,0.660326547769878,13.08955223880597,0.7266428933214786,0.660326547769878,0.5877410766228082,zijinshan,0.5877410766228082,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,shadow_illumination,moderate,grounding
0.7229350075792911,0.03911516559657768,0.014691715889561086,0.020766297655579247,0.6725927741287128,12.119402985074627,0.7229350075792911,0.6725927741287128,0.5989402548766489,zijinshan,0.5989402548766489,box-mask,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,67,shadow_illumination,strong,grounding
