box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,normalized1000_box_count,params_M,perturbation,pixel_box_count,round_index,sample,strength
1,0.928619384765625,0.9629273008967029,0.9285051103257236,zijinshan,599.2045489992961,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,29,2024_omap_2024_000038,none
1,0.9240913391113281,0.9604336215792749,0.9238790725786399,zijinshan,599.9062480004795,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,30,2024_omap_2024_000031,none
0,0.98089599609375,0.0,0.0,zijinshan,382.4023589995704,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,0,31,2024_omap_2024_000002,none
1,0.7814216613769531,0.8750340772534061,0.7778316298835244,zijinshan,599.7250390000772,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,32,2024_omap_2024_000051,none
2,0.7787132263183594,0.26514143832579584,0.1528317317521979,zijinshan,863.9330409996546,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,2,33,2024_omap_2024_000060,none
2,0.6128959655761719,0.35728084009449795,0.2174935611727148,zijinshan,828.6643740002546,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,2,34,2024_omap_2024_000056,none
1,0.5576324462890625,0.7094653505035827,0.5497452941541903,zijinshan,599.5224989992494,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,35,2024_omap_2024_000055,none
1,0.9479026794433594,0.9732472198225622,0.9478885653997169,zijinshan,598.33123899989,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,36,2024_omap_2024_000030,none
1,0.18351364135742188,0.1373684613555483,0.07374967002626807,zijinshan,645.4833810003038,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,37,2024_omap_2024_000009,none
1,0.3327903747558594,0.4200474161513338,0.2658607735734223,zijinshan,610.9594950003157,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,38,2024_omap_2024_000057,none
1,0.9259986877441406,0.9612163499505183,0.925328724518076,zijinshan,600.0167190004504,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,39,2024_omap_2024_000044,none
1,0.8431892395019531,0.5617917639408573,0.3906192092740561,zijinshan,643.7220319994594,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,40,2024_omap_2024_000064,none
1,0.5545768737792969,0.7079758007437845,0.5479586227187909,zijinshan,600.6803079999372,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,41,2024_omap_2024_000046,none
1,0.927215576171875,0.962115195221908,0.9269961278868669,zijinshan,597.2218789993349,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,42,2024_omap_2024_000013,none
0,0.9399909973144531,0.0,0.0,zijinshan,874.5195870005773,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,0,43,2024_omap_2024_000065,none
2,0.6015777587890625,0.6580852986237511,0.49040769726185135,zijinshan,861.0108620005121,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,2,44,2024_omap_2024_000050,none
1,0.428741455078125,0.5944976983482264,0.42297881522467884,zijinshan,598.6181789994589,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,45,2024_omap_2024_000023,none
2,0.727874755859375,0.2949873497786211,0.17301182471597495,zijinshan,851.9386450007005,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,2,46,2024_omap_2024_000063,none
1,0.9530181884765625,0.97580039847996,0.9527443645083933,zijinshan,601.4408280007046,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,47,2024_omap_2024_000028,none
1,0.9068489074707031,0.950773603733457,0.906166302255252,zijinshan,599.3071789998794,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,1,48,2024_omap_2024_000007,none
2,0.9644241333007812,0.9818702809464934,0.9643862295457583,zijinshan,817.7470379996521,Qwen/Qwen2.5-VL-3B-Instruct,0,3754.622976,clean,2,49,2024_omap_2024_000043,none
