box_count,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,latency_ms,model,perturbation,round_index,sample,strength
42,0.2501640319824219,0.400209933388868,0.2501640319824219,zijinshan,987.8752099994017,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,28,2024_omap_2024_000053,none
2,0.9531440734863281,0.9760024069880804,0.9531295909762156,zijinshan,252.493776000847,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,29,2024_omap_2024_000038,none
2,0.9463729858398438,0.9724370235593061,0.9463527256768876,zijinshan,304.59675599922775,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,30,2024_omap_2024_000031,none
41,0.90850830078125,0.05597103046524443,0.028791253290139703,zijinshan,756.7539969986683,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,31,2024_omap_2024_000002,none
6,0.7801094055175781,0.8764735505577045,0.7801094055175781,zijinshan,345.1498009999341,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,32,2024_omap_2024_000051,none
6,0.178070068359375,0.3023081107685931,0.178070068359375,zijinshan,345.6836810000823,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,33,2024_omap_2024_000060,none
13,0.5561294555664062,0.42819935722920577,0.2724259970236234,zijinshan,1060.3911229991354,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,34,2024_omap_2024_000056,none
29,0.5541038513183594,0.7122696894731012,0.5531202330569224,zijinshan,1072.6462389993685,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,35,2024_omap_2024_000055,none
2,0.9745330810546875,0.987101859758807,0.9745322066873939,zijinshan,253.6055460004718,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,36,2024_omap_2024_000030,none
2,0.16974639892578125,0.11047989602661457,0.0584698177036018,zijinshan,355.9120569989318,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,37,2024_omap_2024_000009,none
1,0.26828765869140625,0.4206310371699378,0.2663285445449121,zijinshan,304.72788700171805,/content/vegetation_foundation_models/12_LocatingAnything/weights/LocateAnything-3B,clean,38,2024_omap_2024_000057,none
