Accuracy,Delta_Accuracy,Delta_F1,Delta_IoU,Delta_mIoU,F1,avg_boxes,box_mask_accuracy,box_mask_f1,box_mask_iou,dataset,head_path,mIoU,metric_type,model,n,perturbation,strength,task_type,veg_IoU
0.8704547028043377,-0.0117208566238631,-0.0104829800373601,,-0.0166894129026794,0.901310936686596,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7515909617743207,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,0.70,frozen-head segmentation,0.8203512411131507
0.8829045651563957,0.0007290057281948,0.0003073878044342,,0.0017437639270859,0.9121013045283904,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7700241386040861,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,0.85,frozen-head segmentation,0.8384064695775648
0.8822497467496502,7.418732144937046e-05,8.637104720132793e-05,,6.346343038976521e-05,0.9118802877711576,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7683438381073899,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,1.15,frozen-head segmentation,0.838033056035088
0.882692422439803,0.0005168630116021,0.0003642311740225,,0.0009356756572194,0.9121581478979788,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7692160503342196,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,brightness,1.30,frozen-head segmentation,0.8385025324549046
0.8831307710106693,0.0009552115824684,0.0006690997374233,,0.0017383800373973,0.9124630164613796,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7700187547143975,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,0.75,frozen-head segmentation,0.8390179187216361
0.8825583386777053,0.0003827792495044,0.0002868084179155,,0.0006574509125745,0.9120807251418716,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7689378255895747,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,0.90,frozen-head segmentation,0.8383716937645147
0.8823299123280084,0.0001543528998075,2.084270932101173e-05,,0.0004608952956137,0.9118147594332772,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7687412699726139,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,1.10,frozen-head segmentation,0.8379223733621008
0.8826697050635495,0.0004941456353486,0.000124895401498,,0.0013529202087861,0.9119188121254542,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7696332948857864,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,contrast,1.25,frozen-head segmentation,0.8380981330141305
0.8834892956178579,0.0013137361896571,0.0012364032161327,,0.0017282403100224,0.9130303199400888,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7700086149870227,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,gaussian_blur,kernel_3,frozen-head segmentation,0.8399777258642254
0.8825973396870628,0.0004217802588619,0.0007022125809601,,-9.063772194384256e-05,0.9124961293049164,,,,,zijinshan,/content/vegetation_models_v2/10_DINOv3/four_dataset_runs/zijinshan/best_head.pth,0.7681897369550563,dense segmentation,DINOv3 ViT-L/16 SAT-493M + head,67,gaussian_blur,kernel_5,frozen-head segmentation,0.839073914028177
