allow_tf32,amp,batch_size,best_epoch,best_eval_Accuracy,best_eval_F1,best_eval_loss,best_eval_mIoU,best_eval_veg_IoU,best_val_mIoU,cache_in_ram,channels_last,dataset,dataset_root,dinov2_model,elapsed_seconds,epochs_completed,epochs_requested,eval_samples,eval_split_name,frozen_backbone,input_size,num_workers,prefetch_factor,split_protocol,total_samples,train_samples
True,True,64,4,0.867278687583534,0.8987418875001905,0.37083575262952206,0.7465906001086302,0.8161046691043975,0.7465906001086302,True,True,zijinshan,/content/binary/zijinshan,dinov2_vitl14_reg,160.7283911705017,100,100,67,test,True,518,8,4,explicit_train_test,201,134
True,True,64,89,0.9354864641254602,0.6522425051112358,0.16139031767845155,0.7076392800317871,0.4839464870978647,0.7076392800317871,True,True,loveda,/content/binary/loveda,dinov2_vitl14_reg,358.67555713653564,100,100,100,val,True,518,8,4,random_train_val,500,400
True,True,64,61,0.9151597974836392,0.9266621712418588,0.22853126227855683,0.8402504121709534,0.863346233043899,0.8402504121709534,True,True,potsdam,/content/binary/potsdam,dinov2_vitl14_reg,277.1330609321594,100,100,80,val,True,518,8,4,random_train_val,400,320
True,True,64,63,0.9364452117589184,0.9256493181269974,0.16028662025928497,0.8782161488582596,0.8615895477566392,0.8782161488582596,True,True,vaihingen,/content/binary/vaihingen,dinov2_vitl14_reg,147.4007477760315,100,100,40,val,True,518,8,4,random_train_val,201,161
