dataset,epoch,train_loss,test_loss,test_mIoU,test_veg_IoU,test_F1,test_Accuracy,lr
zijinshan,1,0.4782741768146629,0.3498969918756343,0.7375495925245645,0.8020909771702113,0.8901781178991521,0.859372950311917,0.0009997532801828658
zijinshan,2,0.25863630913976415,0.34523963527892954,0.7514901874616864,0.8216328460916942,0.9020839164758191,0.8708782480723822,0.0009990133642141358
zijinshan,3,0.2539483780291543,0.3353806631778603,0.747243507071718,0.8128205222277131,0.8967468232639663,0.866378499500787,0.00099778098230154
zijinshan,4,0.23293112996798843,0.31974895053835056,0.7538881029478126,0.8189492534846992,0.900464102465504,0.8707502564387535,0.000996057350657239
zijinshan,5,0.2283118402779992,0.312925800013898,0.7573282239492074,0.8282909398591974,0.9060822014717054,0.8751907917990613,0.0009938441702975688
zijinshan,6,0.21928624586382908,0.3239397820252091,0.7516173572475509,0.8282372394623135,0.9060500700728522,0.8733998199007404,0.0009911436253643444
zijinshan,7,0.2169684465251752,0.3228337391098933,0.7562629819803537,0.8294491637602229,0.9067747606119705,0.8752913973224696,0.0009879583809693736
zijinshan,8,0.20900459409649694,0.32001813690164194,0.7612373465558243,0.8297941128971904,0.9069808532538585,0.876986375495569,0.0009842915805643154
zijinshan,9,0.20590597279925846,0.31943412080629546,0.7624382258755942,0.8307877924666699,0.907574101034754,0.8777305830770464,0.0009801468428384714
zijinshan,10,0.20257919848854863,0.3218359155441398,0.7604813577334394,0.8324126384134338,0.9085427823005691,0.877718114141208,0.0009755282581475767
zijinshan,11,0.19828871248373345,0.3250794806587162,0.7579116678799376,0.8329202317229829,0.9088450411614701,0.8771313909274429,0.0009704403844771127
zijinshan,12,0.19854502602299648,0.3160375825949569,0.7639986174317566,0.8342961580946852,0.9096635288832343,0.8795129576725746,0.0009648882429441257
zijinshan,13,0.19278979279212097,0.31723424214035717,0.7658811134823995,0.8330017154501337,0.9088935470478509,0.8796297898933069,0.0009588773128419905
zijinshan,14,0.18923624660541763,0.32775372800542346,0.7639019814980333,0.8342482425842477,0.9096350463543436,0.8794651316173041,0.0009524135262330098
