dataset,epoch,train_loss,val_loss,val_mIoU,val_veg_IoU,val_F1,val_Accuracy,lr
loveda,1,0.3610611593723297,0.30326663494110107,0.4443900680541992,0.0,0.0,0.8887801361083985,0.0009997532801828658
loveda,2,0.2436577069759369,0.28667049169540404,0.4443900680541992,0.0,0.0,0.8887801361083985,0.0009990133642141358
loveda,3,0.22864337801933288,0.27504382193088533,0.4444015632418137,2.0922209851822735e-05,4.184354424423185e-05,0.8887824630737304,0.00099778098230154
loveda,4,0.21617496848106385,0.2648259299993515,0.4461503326269306,0.003209822007327133,0.006399104029712519,0.8891304397583008,0.000996057350657239
loveda,5,0.20723089337348938,0.2554729413986206,0.45004769581959125,0.010319470138723388,0.02042813277132323,0.889902458190918,0.0009938441702975688
loveda,6,0.2009416663646698,0.24762404322624207,0.4601668679616226,0.028793284422696738,0.05597486853513818,0.891888084411621,0.0009911436253643444
loveda,7,0.1970484185218811,0.24133459568023682,0.46608375704110916,0.03959439619470682,0.07617277726705086,0.8930467987060546,0.0009879583809693736
loveda,8,0.19132331430912017,0.23687727153301238,0.4710014515382664,0.048527079200967445,0.09256237662063553,0.8940514373779297,0.0009842915805643154
loveda,9,0.1854222148656845,0.23332393765449524,0.4871412045814958,0.07790181628907213,0.14454343635353964,0.8972798156738281,0.0009801468428384714
loveda,10,0.18057055294513702,0.22821452260017394,0.5331718085879631,0.16177588628474948,0.2784975797734856,0.9062936401367188,0.0009755282581475767
loveda,11,0.17447305023670195,0.22061788380146027,0.5814650799216198,0.2502793431627981,0.4003574793608493,0.915125732421875,0.0009704403844771127
loveda,12,0.17015523135662078,0.2120643013715744,0.6200447161793301,0.32150117728323774,0.48656964187377383,0.9216121673583985,0.0009648882429441257
loveda,13,0.16187654435634613,0.2037157267332077,0.6428916592136519,0.3634731881699775,0.5331578080502234,0.9256102752685547,0.0009588773128419905
loveda,14,0.15572305142879486,0.19857096254825593,0.6465018392008655,0.36973985952440513,0.5398687304796467,0.9265694427490234,0.0009524135262330098
loveda,15,0.14669878900051117,0.18059987545013428,0.6980015345339097,0.46745170748038883,0.6370931392120595,0.9327678298950195,0.0009455032620941839
loveda,16,0.14086150050163268,0.1831311672925949,0.6726092135023514,0.41753868794957666,0.5891037634444146,0.9312442398071289,0.0009381533400219318
loveda,17,0.13559127748012542,0.17096928060054778,0.7051574807957717,0.47873409393132993,0.6474917916561699,0.9356259155273438,0.0009303710135019719
loveda,18,0.1337272882461548,0.16851223170757293,0.7033016115351468,0.47442981574234605,0.6435434371672416,0.9360866165161132,0.0009221639627510076
loveda,19,0.1299284303188324,0.16990152299404143,0.6938977158767649,0.456447886290042,0.6267960434241633,0.9350896835327148,0.000913540287137281
loveda,20,0.1258989018201828,0.16589098989963533,0.7044091018968844,0.4760409785018087,0.6450240683493671,0.9366465377807617,0.0009045084971874739
loveda,21,0.12220182657241821,0.15945914268493652,0.7202765367676394,0.506508581453796,0.6724270776672379,0.9382262802124024,0.0008950775061878452
loveda,22,0.12024741351604462,0.15726025879383088,0.7221846010324449,0.510132403622617,0.6756128169938924,0.9384518432617187,0.0008852566213878947
loveda,23,0.11854191690683365,0.16251491844654084,0.7025014233860694,0.4724638698908007,0.6417323773463305,0.9363826370239258,0.0008750555348152298
loveda,24,0.1180385160446167,0.15610204815864562,0.7224590184118481,0.5102780114086491,0.6757405028133973,0.9388074493408203,0.0008644843137107057
loveda,25,0.11414327144622803,0.1591946017742157,0.7102083027820741,0.48690100246312357,0.6549205382961588,0.937461166381836,0.0008535533905932737
loveda,26,0.11294709533452987,0.1584499228000641,0.7115449345739708,0.4892872355374785,0.6570757122764118,0.9377505111694336,0.0008422735529643444
loveda,27,0.11129137039184571,0.159333336353302,0.7077544093585487,0.48210858654273864,0.650571207697185,0.9372882461547851,0.0008306559326618259
