dataset,epoch,train_loss,val_loss,val_mIoU,val_veg_IoU,val_F1,val_Accuracy,lr
vaihingen,1,0.6043483248408537,0.375436007976532,0.6642681424598739,0.572664485311131,0.728272928726863,0.816051024135001,0.0009997532801828658
vaihingen,2,0.31110698058738473,0.28695935010910034,0.7870483094664594,0.7728121853510144,0.871848909587677,0.8814317765089966,0.0009990133642141358
vaihingen,3,0.27044615205030265,0.25964435935020447,0.8038925340724283,0.7880219658353961,0.8814455089395035,0.8920753454778552,0.00099778098230154
vaihingen,4,0.2335728406906128,0.22218844294548035,0.8312848649591469,0.8091923563913077,0.8945343523398002,0.9095931597620787,0.000996057350657239
vaihingen,5,0.21848592791498078,0.22178234159946442,0.8319653948128213,0.805373501983129,0.8921959927942436,0.9107783873227888,0.0009938441702975688
vaihingen,6,0.2171265232081739,0.2134953737258911,0.8379168787913539,0.8136996210350843,0.897281569227768,0.9139496466957857,0.0009911436253643444
vaihingen,7,0.20564220012715145,0.20756858587265015,0.8425564450345955,0.8222534151595307,0.9024578122001169,0.9160917398369136,0.0009879583809693736
vaihingen,8,0.19757903908720667,0.2099020630121231,0.8409115791184282,0.8229415046355175,0.9028720916638058,0.9147783090591971,0.0009842915805643154
vaihingen,9,0.19543719661902198,0.20704428851604462,0.8432902240593314,0.8254229552199763,0.9043635096837127,0.9161814634546295,0.0009801468428384714
vaihingen,10,0.19098966832486738,0.20046399533748627,0.8486156328221074,0.8296713109712825,0.9069074931615458,0.919494994856964,0.0009755282581475767
vaihingen,11,0.18781565629547428,0.19665175676345825,0.8515590814309622,0.831131117032839,0.9077789234225915,0.9214667715150341,0.0009704403844771127
vaihingen,12,0.1846662923601103,0.19417940080165863,0.8533074622380666,0.8328091399227511,0.908778903140839,0.9225135470550528,0.0009648882429441257
vaihingen,13,0.18037490324574226,0.1916561871767044,0.8550978531376221,0.8356075924584176,0.91044251057961,0.9234111559159822,0.0009588773128419905
vaihingen,14,0.17665099810739482,0.19093285501003265,0.8556604856637005,0.8374205649476602,0.9115175707979676,0.9235537074581476,0.0009524135262330098
vaihingen,15,0.173345443347226,0.19052843749523163,0.8562374756298445,0.8386485253720601,0.9122445250403203,0.9237993060628196,0.0009455032620941839
vaihingen,16,0.17027389540435364,0.1865948736667633,0.8587319992816904,0.8405896776568073,0.9133917112117391,0.9253447324875896,0.0009381533400219318
vaihingen,17,0.16773767389866137,0.18348532915115356,0.8610246378146992,0.8417794907051052,0.9140936740291739,0.92685997152696,0.0009303710135019719
vaihingen,18,0.1665265059434109,0.18192650377750397,0.8625886335533097,0.8437995333772176,0.9152833788081745,0.9277046592924971,0.0009221639627510076
vaihingen,19,0.164248993030246,0.1822948008775711,0.8626517964674492,0.8452168576007031,0.9161165573782162,0.9275362993992338,0.000913540287137281
vaihingen,20,0.16182043121097991,0.17925502359867096,0.8648612465342623,0.8470725763071458,0.9172055144694953,0.9288790790238667,0.0009045084971874739
