dataset,epoch,train_loss,val_loss,val_mIoU,val_veg_IoU,val_F1,val_Accuracy,lr
loveda,1,0.40648766338825226,0.3319716167449951,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009997532801828658
loveda,2,0.2663729244470596,0.3104687941074371,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009990133642141358
loveda,3,0.2514306855201721,0.2975716197490692,0.4443885750063356,0.0,0.0,0.8887771500126712,0.00099778098230154
loveda,4,0.2393818372488022,0.2891907262802124,0.4443885750063356,0.0,0.0,0.8887771500126712,0.000996057350657239
loveda,5,0.2318928700685501,0.2831453293561935,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009938441702975688
loveda,6,0.2279257869720459,0.2774377191066742,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009911436253643444
loveda,7,0.22512830197811126,0.27465878427028656,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009879583809693736
loveda,8,0.2230749237537384,0.27194958448410034,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009842915805643154
loveda,9,0.22074917912483216,0.26960095643997195,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009801468428384714
loveda,10,0.21977699398994446,0.26654577553272246,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009755282581475767
loveda,11,0.21911317825317383,0.26478944420814515,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009704403844771127
loveda,12,0.2164681798219681,0.2635078400373459,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009648882429441257
loveda,13,0.21378608882427216,0.2620123416185379,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009588773128419905
loveda,14,0.2116619622707367,0.26078479051589964,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009524135262330098
loveda,15,0.2100147497653961,0.2583553457260132,0.4443885750063356,0.0,0.0,0.8887771500126712,0.0009455032620941839
loveda,16,0.20752183794975282,0.25665808737277984,0.44637769444366004,0.0036208355867221285,0.0072155448717948715,0.8891792012641434,0.0009381533400219318
loveda,17,0.20619197726249694,0.2542279875278473,0.46036047198684005,0.029382992232335887,0.05708855198513718,0.8916942204200892,0.0009303710135019719
