dataset,epoch,train_loss,val_loss,val_mIoU,val_veg_IoU,val_F1,val_Accuracy,lr
potsdam,1,0.5250924348831176,0.32270145416259766,0.7722606969769081,0.8091417236877452,0.8945034135174273,0.8752882243109077,0.0009997532801828658
potsdam,2,0.32754173278808596,0.3162815093994141,0.7788590821421828,0.8040813109118078,0.8914025172240312,0.8774991241931397,0.0009990133642141358
potsdam,3,0.28820245862007143,0.30697945356369016,0.7839248365697323,0.8236839150771225,0.9033187256491094,0.8834554959675616,0.00099778098230154
potsdam,4,0.27884072363376616,0.29246416687965393,0.7991044540494738,0.8302195733952294,0.907234941056929,0.891305613735633,0.000996057350657239
potsdam,5,0.2629113793373108,0.29829028248786926,0.7874272043506176,0.8132961468750086,0.8970362047883065,0.883040559174729,0.0009938441702975688
potsdam,6,0.26051400899887084,0.28688994646072385,0.7948372638456842,0.8215126360668912,0.9020114599267846,0.8878419839447832,0.0009911436253643444
potsdam,7,0.2484540671110153,0.27522206902503965,0.803983061447708,0.8331839569796101,0.9090020167450956,0.8940091083913477,0.0009879583809693736
potsdam,8,0.24176888763904572,0.27078844904899596,0.8060292921883109,0.8345342661793234,0.9098050459611843,0.8951608409981963,0.0009842915805643154
potsdam,9,0.23608889877796174,0.2684260606765747,0.8080452103987155,0.8340308722866706,0.909505815730136,0.8959809782203605,0.0009801468428384714
potsdam,10,0.23236665725708008,0.2576263606548309,0.8161505281417394,0.8440649928719999,0.9154395274945584,0.9013336488722589,0.0009755282581475767
potsdam,11,0.22574436962604522,0.25493462681770324,0.8196137524119542,0.8454893984651304,0.9162766246918709,0.9031031514139622,0.0009704403844771127
potsdam,12,0.22288618981838226,0.2495246946811676,0.8228755150911562,0.8494530891613669,0.9185992271331962,0.9052274489050551,0.0009648882429441257
potsdam,13,0.2180677533149719,0.24534606337547302,0.8280862114547679,0.8528402870842162,0.9205761479056748,0.9080886819665778,0.0009588773128419905
potsdam,14,0.2151336044073105,0.24367148280143738,0.8278620338020054,0.853657188113263,0.9210518466816987,0.9081345220703329,0.0009524135262330098
potsdam,15,0.21274441182613374,0.2438146710395813,0.8278005536054465,0.8539017930959666,0.9211942037878644,0.9081520382075401,0.0009455032620941839
potsdam,16,0.21125782728195192,0.24340580701828002,0.8275687359240051,0.8534391564616383,0.920924923255556,0.9079691902327037,0.0009381533400219318
potsdam,17,0.20757482349872589,0.24351606369018555,0.8281451247244489,0.853270400141517,0.9208266641245235,0.9081887475589213,0.0009303710135019719
potsdam,18,0.2065211832523346,0.24146201014518737,0.8284856102571438,0.8542968884190467,0.9214240651047103,0.9085173614734425,0.0009221639627510076
potsdam,19,0.20458979308605194,0.24084826409816742,0.8319581026610214,0.8553772765231279,0.922052120985395,0.9102135384833261,0.000913540287137281
potsdam,20,0.2012467473745346,0.2401503562927246,0.8306969426154673,0.8557148929399649,0.9222482356481778,0.9097215959064414,0.0009045084971874739
potsdam,21,0.20077705085277558,0.2403867244720459,0.8294674588695536,0.8556988960116596,0.922238944961126,0.9091914998285655,0.0008950775061878452
potsdam,22,0.1994325816631317,0.24042628407478334,0.8330752620904562,0.8563865055151109,0.9226381499444054,0.9108715582653807,0.0008852566213878947
potsdam,23,0.19812700748443604,0.23919729590415956,0.8309901229018036,0.8561907605411537,0.9225245365315147,0.9099318827238712,0.0008750555348152298
potsdam,24,0.19638774991035463,0.2366320013999939,0.8324277477042771,0.8576112075707084,0.9233484424248815,0.910801400545609,0.0008644843137107057
potsdam,25,0.1947866976261139,0.23837290406227113,0.8354461630086216,0.8580789250040716,0.9236194582016383,0.9121916041800212,0.0008535533905932737
potsdam,26,0.19299863278865814,0.23673859238624573,0.8336949352783396,0.8585496501937377,0.923892079078158,0.9115110370298595,0.0008422735529643444
potsdam,27,0.19202855825424195,0.2357269525527954,0.8322655080743554,0.8579609453332133,0.9235511085291878,0.9107951115069841,0.0008306559326618259
potsdam,28,0.1886341989040375,0.24074240922927856,0.833555529435704,0.8552571392417402,0.9219823184092867,0.9109037954115174,0.0008187119948743449
potsdam,29,0.19114242494106293,0.23781274557113646,0.8267834493379513,0.8548959484969393,0.9217724036646683,0.9079070917994663,0.0008064535268264883
potsdam,30,0.1894119381904602,0.23559813499450682,0.8335436932895948,0.8578711279870327,0.9234990684380993,0.9113271175891833,0.0007938926261462367
potsdam,31,0.1865357905626297,0.23500538170337676,0.834768421429017,0.8585300982890197,0.9238807583255074,0.9119705561187221,0.0007810416889260654
potsdam,32,0.1849135458469391,0.23581427037715913,0.8311022267467496,0.8573446538801178,0.9231939285894701,0.9101884289142976,0.0007679133974894983
potsdam,33,0.1838328570127487,0.23823609054088593,0.8351664918468933,0.8572229015162901,0.9231233373403146,0.9119304926134076,0.0007545207078751857
potsdam,34,0.18412028551101683,0.23665990233421325,0.8301068528643927,0.8572465139338012,0.9231370283938048,0.9097503857277023,0.0007408768370508577
