dataset,epoch,train_loss,test_loss,test_mIoU,test_veg_IoU,test_F1,test_Accuracy,lr
zijinshan,14,0.2247152252873378,0.441595683124528,0.7047887949746235,0.7661208559820601,0.8675746661244821,0.8355377114813524,0.0009524135262330098
zijinshan,15,0.22057837181126894,0.4272617012707155,0.7169730200335438,0.7792495879939634,0.8759306094571452,0.8443823317188153,0.0009455032620941839
zijinshan,16,0.21349603827319927,0.41062930537693537,0.7283514853351547,0.7916445238501528,0.883707134213152,0.8526179199261663,0.0009381533400219318
zijinshan,17,0.21094961064075357,0.40488363024014146,0.7321047702871399,0.7957368347850508,0.886251057917738,0.8553238265968053,0.0009303710135019719
zijinshan,18,0.2098331980740846,0.41509912796874543,0.7256017751458472,0.788488813227274,0.881737484065634,0.8505841790288283,0.0009221639627510076
zijinshan,19,0.20525213364344924,0.43707953571383634,0.7122123441743854,0.7738535159476629,0.8725111842555271,0.8408587457311021,0.000913540287137281
zijinshan,20,0.20518507152350982,0.43060196469079204,0.7125852609448378,0.7742589202604674,0.8727688066483593,0.8411300817657067,0.0009045084971874739
zijinshan,21,0.20298748074182824,0.42149201435829275,0.7162373737592997,0.7781994317266899,0.8752667646182214,0.8437751352953335,0.0008950775061878452
zijinshan,22,0.20114385458960463,0.44085411749668973,0.7052358798053582,0.7660246455195521,0.8675129732339527,0.8357013029692105,0.0008852566213878947
zijinshan,23,0.1990716782078814,0.42711840458770295,0.7136025706367795,0.7751531775228998,0.8733366645064073,0.8418088112233216,0.0008750555348152298
zijinshan,24,0.19739853757530895,0.42248270983126623,0.7177832397535813,0.7796060232589059,0.876155748036019,0.8448162023768547,0.0008644843137107057
zijinshan,25,0.19431003705779118,0.42175232430002585,0.7197046317063707,0.7815353837882834,0.8773728446823378,0.8461609232945602,0.0008535533905932737
zijinshan,26,0.1927473938732005,0.4230937054797785,0.7211545079590471,0.7828740252821234,0.878215750726685,0.847139635375099,0.0008422735529643444
zijinshan,27,0.1904113168147073,0.42589253854395737,0.7208639527903331,0.7823384926430679,0.8778786923722007,0.8468651843716674,0.0008306559326618259
zijinshan,28,0.18877918617938882,0.4551514487213163,0.7034486109588587,0.7630503406118977,0.8656024425792262,0.8341098876452994,0.0008187119948743449
zijinshan,29,0.19081617046647997,0.4461528594369319,0.7081854092771974,0.7682624853094399,0.8689462019265727,0.8375835228828947,0.0008064535268264883
zijinshan,30,0.18618011252203984,0.3924869759314096,0.7390229792820815,0.8031014723467435,0.890800084924232,0.860240638016815,0.0007938926261462367
zijinshan,31,0.19234322278357263,0.414892144612412,0.7235775448067012,0.7853464637659271,0.8797692545449735,0.8488415764679235,0.0007810416889260654
zijinshan,32,0.18487901674277746,0.4507497835959961,0.699380162230457,0.7582976716109401,0.8625361721786199,0.8310432008351677,0.0007679133974894983
zijinshan,33,0.18653993175100925,0.4226761934027743,0.7128138665107707,0.7733588621097277,0.8721966869014645,0.8409681033867054,0.0007545207078751857
zijinshan,34,0.18357413895984195,0.4072994271765894,0.7201089689861782,0.7815867219297618,0.8774051942676921,0.8463396446310063,0.0007408768370508577
zijinshan,35,0.18359116809581644,0.41847771161527775,0.7128846677525857,0.773166373169816,0.8720742563910215,0.8409433505094198,0.0007269952498697734
zijinshan,36,0.18213098396116228,0.43450529851130587,0.7044463477085627,0.7632488237103808,0.8657301379668998,0.8345976583889336,0.0007128896457825364
zijinshan,37,0.18264673472340429,0.42298034345036123,0.717485999578475,0.7775014725050367,0.8748251233899708,0.844087855915782,0.0006985739453173903
zijinshan,38,0.18116280770123894,0.4192718512086726,0.7235515720284056,0.784150461972456,0.8790183100426895,0.8484802400839974,0.0006840622763423391
zijinshan,39,0.18020805227222728,0.4346113064840658,0.711626083097629,0.7706792243479842,0.8704899382684865,0.8397180552715618,0.0006693689601226458
zijinshan,40,0.17836222808752486,0.42564600639378847,0.7110431060852027,0.7699851494389943,0.8700470167029876,0.8392785109203019,0.0006545084971874737
zijinshan,41,0.17881411669859246,0.42468423585393533,0.7080414099587837,0.7665313819995789,0.8678378315950706,0.8370464132580193,0.0006394955530196147
zijinshan,42,0.1796390561025534,0.39299139891987417,0.7263587698446626,0.7874464219194522,0.8810853430491657,0.8505720529001806,0.0006243449435824273
zijinshan,43,0.1797029233690518,0.42232326117914115,0.7137432236957221,0.7728320372323422,0.871861542437883,0.8412113490774241,0.0006090716206982714
zijinshan,44,0.17686712219199138,0.48472846110365286,0.6831803928915489,0.7379585743812599,0.84922458481956,0.8184219033928017,0.0005936906572928625
zijinshan,45,0.18113934526692577,0.4238845910598983,0.7171167796457414,0.7766815142022526,0.8743058426551933,0.8437026566456636,0.0005782172325201156
zijinshan,46,0.17800276648642413,0.40900997217021773,0.7203997851491837,0.7805638061656952,0.8767602749901766,0.8461621470323136,0.0005626666167821523
zijinshan,47,0.1767491173388353,0.502817849614727,0.6618170268472903,0.7114321072516817,0.8313880570981471,0.8017466408954912,0.0005470541566592572
zijinshan,48,0.1804031369401448,0.4608592515561118,0.6915128044878773,0.7467182750939061,0.8549956632860688,0.8244920320209895,0.0005313952597646569
zijinshan,49,0.17493941201202906,0.4195682212932786,0.721440416167638,0.7813614502798322,0.8772632304994463,0.846816957979293,0.0005157053795390643
zijinshan,50,0.17775550773784296,0.45151891214634055,0.7053708049605553,0.7629364893171144,0.8655291826339622,0.8349185558025528,0.0005000000000000002
zijinshan,51,0.17495126844342077,0.4597798232267152,0.6912693925188025,0.7462924160556994,0.8547164371718784,0.8242734279586698,0.00048429462046093607
zijinshan,52,0.17393180861401913,0.46241806825595116,0.6825467467366633,0.7358049662284188,0.8477968211223478,0.8176047246957177,0.0004686047402353435
zijinshan,53,0.17484894639520504,0.4416519636983302,0.697630473134712,0.7537278763092055,0.8595722135585342,0.8290658631233748,0.000452945843340743
zijinshan,54,0.17466934825947036,0.4462208494321624,0.700460592977542,0.7569952185398022,0.8616929750883708,0.8311823175679569,0.00043733338321784806
zijinshan,55,0.17231466343153767,0.4560200002656054,0.6983684297773572,0.754489505367227,0.8600672766170887,0.8295950184528529,0.0004217827674798847
zijinshan,56,0.17222998680463478,0.496676175229585,0.6757349653433202,0.7275961236165162,0.8423220145844974,0.8123722445597625,0.00040630934270713783
zijinshan,57,0.17376426551769028,0.46293805717532316,0.6869639709794793,0.7406744304952229,0.8510200615568307,0.8208795581728215,0.000390928379301729
zijinshan,58,0.17247446759868024,0.4204482107020136,0.7071326636139592,0.7644449389983955,0.8664990582617332,0.836091619688116,0.0003756550564175727
zijinshan,59,0.1733932014721543,0.5034857619164596,0.661963570254625,0.7102464017872634,0.8305778641545835,0.8015770975921959,0.00036050444698038553
zijinshan,60,0.17289350281900434,0.576090150804662,0.6282800053083013,0.6686672217301795,0.8014386727592853,0.7750112528248874,0.00034549150281252655
zijinshan,61,0.17794877379687865,0.466609560954037,0.6932061342012625,0.747549653079413,0.8555403868063285,0.8254861520723331,0.0003306310398773544
zijinshan,62,0.17149149904500194,0.4209905315690966,0.7173211485900942,0.7757762697759174,0.8737319931342606,0.8435356164423184,0.00031593772365766127
zijinshan,63,0.17248774286526353,0.4662815047733819,0.6916736969251809,0.745482037390791,0.8541847139317048,0.824265418038829,0.0003014260546826097
zijinshan,64,0.1706904026109781,0.4913604962292002,0.6734108931739075,0.7233810437024754,0.8394905425539309,0.8102720880770786,0.0002871103542174637
zijinshan,65,0.17001882039788943,0.47706558410801103,0.6805133720200519,0.7317345674384897,0.8450885963670994,0.815674779009649,0.0002730047501302267
zijinshan,66,0.17018786072731018,0.4700169320871581,0.6855963219373966,0.7378124445876937,0.8491278180054052,0.8195494664837142,0.00025912316294914234
zijinshan,67,0.1691227073767292,0.4620686980770595,0.6909032444990885,0.7440952133608906,0.8532736144915058,0.8235688331349024,0.0002454792921248144
zijinshan,68,0.16933709282928439,0.46893253188524675,0.6882557289164879,0.7408940274330891,0.8511649942593249,0.8215494433439458,0.00023208660251050164
zijinshan,69,0.16941564941584175,0.4743411563225646,0.6862074703525871,0.7383381413317903,0.8494758571725619,0.8199670948042987,0.00021895831107393473
zijinshan,70,0.16873757096368874,0.4794383011202314,0.6835901062281606,0.7350519694108164,0.8472967753933308,0.817938971975738,0.00020610737385376356
zijinshan,71,0.1684292694970743,0.4822035807726988,0.680945122916108,0.7316875723045637,0.8450572539835457,0.8158780307256075,0.00019354647317351177
zijinshan,72,0.1683777508450978,0.4910800187890209,0.6749447981145603,0.72434764156929,0.8401410760884359,0.8112596444441083,0.0001812880051256552
zijinshan,73,0.16902971512346127,0.4765072117990522,0.6819390107513323,0.7325813473791698,0.8456530465219729,0.8165697206785203,0.00016934406733817422
zijinshan,74,0.1687699682009754,0.454419443634019,0.6924502057938065,0.7449678985551824,0.853847109934812,0.8245100543406312,0.0001577264470356557
zijinshan,75,0.16939812431584544,0.47701867747662674,0.6799069665010786,0.7300037803420751,0.8439331620393694,0.8149885958766268,0.00014644660940672634
zijinshan,76,0.1683186499485329,0.5021106887664368,0.6668021082988513,0.7142546681279819,0.8333122043155579,0.8049428214097147,0.0001355156862892944
zijinshan,77,0.16842864564995266,0.4903921140218849,0.6742334264084334,0.7231686411512513,0.8393474949359587,0.8106453837163224,0.00012494446518477025
zijinshan,78,0.1678906817044785,0.474122927260043,0.6831170996779317,0.7337105258183949,0.8464048811978553,0.8174041429530394,0.00011474337861210548
zijinshan,79,0.1680548869406999,0.4767593743640985,0.6810931300503242,0.731307343880327,0.8448036063213016,0.8158671839591566,0.00010492249381215483
zijinshan,80,0.16851598491419606,0.49561068259958013,0.669985272623793,0.7180415291918135,0.8358837862663174,0.8073821757478762,9.549150281252637e-05
zijinshan,81,0.16728736460208893,0.5030962426715823,0.6658431745866089,0.713118067662144,0.832538143311186,0.8042078000154413,8.645971286271918e-05
zijinshan,82,0.168742506139314,0.5073993101493636,0.6636493463587807,0.7105246099017883,0.8307680647080359,0.802525772473332,7.78360372489926e-05
zijinshan,83,0.16879650105291338,0.510438890154682,0.661843785112886,0.708343292550712,0.8292751177582007,0.8011302108144153,6.962898649802815e-05
zijinshan,84,0.16757031897110725,0.49613152800211263,0.6697790627165134,0.7179229966973187,0.8358034650883828,0.8072505683149376,6.184665997806824e-05
zijinshan,85,0.16751865219714038,0.47730172280944994,0.6809005701631061,0.731245784301133,0.844762529886906,0.8157577706791099,5.449673790581613e-05
zijinshan,86,0.1678931935509639,0.4765458718609454,0.6813193773710525,0.7317442071118014,0.8450950251275303,0.8160763318661088,4.758647376699034e-05
zijinshan,87,0.1677502027865666,0.48722374328036805,0.6751102774633381,0.7243309500385909,0.8401298486492749,0.8113401886380622,4.112268715800956e-05
zijinshan,88,0.16745527199844815,0.49357604646860664,0.6712380166153603,0.7196751538507231,0.836989651492278,0.808370733354886,3.511175705587434e-05
zijinshan,89,0.16717533144488264,0.4996830856622155,0.6673547642861175,0.7150116815483342,0.8338271852502049,0.8053870382142151,2.9559615522887284e-05
zijinshan,90,0.16754486089322104,0.5072312188237461,0.6630575961346281,0.7098143117966028,0.8302823375606899,0.8020694851646272,2.447174185242324e-05
zijinshan,91,0.1677603089987342,0.5108166699534031,0.6613720335468298,0.7077654298122731,0.8288789753638174,0.800763756981702,1.9853157161528526e-05
zijinshan,92,0.16774130712694196,0.5121847315510707,0.6609545960494178,0.7072410767676082,0.8285192834121091,0.8004368521282024,1.570841943568452e-05
zijinshan,93,0.16745419533395056,0.5112009453239725,0.6615974452403337,0.7080006246625182,0.8290402408985198,0.8009307971850471,1.204161903062634e-05
zijinshan,94,0.1673437812879904,0.5086349164372059,0.6630126330860189,0.7097065029717713,0.8302085787685504,0.8020240956188631,8.85637463565564e-06
zijinshan,95,0.16721630919335492,0.5058488663452775,0.6645399253589244,0.7115510814425234,0.831469290233297,0.8032036119398535,6.155829702431171e-06
zijinshan,96,0.16780811014460095,0.5030588427586342,0.6660937411681411,0.7134294390317268,0.8327502992301705,0.8044028193137858,3.942649342761118e-06
zijinshan,97,0.1679356267203146,0.5010877918841233,0.667156185276611,0.7147114646352066,0.8336230081569516,0.8052216667441701,2.2190176984600023e-06
zijinshan,98,0.1667682023635551,0.49996960430002924,0.667769984045924,0.715453393636261,0.8341274630839237,0.805694752634763,9.866357858642206e-07
zijinshan,99,0.16707857976208873,0.4995181082344767,0.6680246252179006,0.7157616050255361,0.8343368949731024,0.8058910512953041,2.467198171342e-07
zijinshan,100,0.16731874644756317,0.4993894611721608,0.6680999754422687,0.7158519514508717,0.8343982717688077,0.8059489563408194,0.0
